mode start end
8 1499953955.342273 1499953965.280962
8 1499953955.352956 1499953965.283733
8 1499953955.342166 1499953965.306920
8 1499953955.352552 1499953965.312524
8 1499953955.352617 1499953965.319108
8 1499953955.342329 1499953965.352719
8 1499953955.352612 1499953965.361430
8 1499954077.784667 1499954087.754208
8 1499954077.784406 1499954087.763107
8 1499954077.784353 1499954087.765033
8 1499954077.809145 1499954087.771890
8 1499954077.784459 1499954087.773815
8 1499954077.799361 1499954087.778048
8 1499954077.799205 1499954087.779805
8 1499954077.805871 1499954087.787537
8 1499953894.727482 1499953904.698853
8 1499953894.727435 1499953904.709694
8 1499953894.749225 1499953904.712758
8 1499953894.739223 1499953904.719055
8 1499953894.727546 1499953904.719311
8 1499953894.727739 1499953904.719736
8 1499953894.742608 1499953904.722939
8 1499953894.742553 1499953904.731806
8 1499953996.519935 1499954006.385579
8 1499953996.535887 1499954006.476354
8 1499953996.519679 1499954006.489719
8 1499953996.535881 1499954006.507631
8 1499953996.519617 1499954006.509674
8 1499953996.519559 1499954006.514716
8 1499953996.532697 1499954006.516509
8 1499953996.529209 1499954006.522342
8 1499953975.930424 1499953985.911664
8 1499953975.930365 1499953985.912519
8 1499953975.930481 1499953985.914780
8 1499953975.930688 1499953985.919974
8 1499953975.942208 1499953985.922320
8 1499953975.942606 1499953985.928689
8 1499953975.942600 1499953985.929948
8 1499953975.952544 1499953985.934946
8 1499953934.773849 1499953944.641412
8 1499953934.782552 1499953944.724275
8 1499953934.773534 1499953944.737097
8 1499953934.782614 1499953944.746201
8 1499953934.773483 1499953944.748796
8 1499953934.782613 1499953944.764727
8 1499953934.773424 1499953944.777831
8 1499953934.789213 1499953944.779377
8 1499954016.548513 1499954026.294538
8 1499954016.548776 1499954026.418282
8 1499954016.552594 1499954026.467167
8 1499954016.548458 1499954026.495311
8 1499954016.565171 1499954026.507562
8 1499954016.565870 1499954026.516259
8 1499954016.549319 1499954026.572764
8 1499954016.572534 1499954026.576058
8 1499954037.140478 1499954047.3597
8 1499954037.155877 1499954047.94223
8 1499954037.140421 1499954047.127950
8 1499954037.140742 1499954047.134062
8 1499954037.162548 1499954047.134434
8 1499954037.140537 1499954047.134753
8 1499954037.162538 1499954047.138949
8 1499954037.159205 1499954047.147432
8 1499954137.870963 1499954147.628599
8 1499954137.879195 1499954147.788098
8 1499954137.870605 1499954147.853367
8 1499954137.870655 1499954147.859169
8 1499954137.885913 1499954147.864212
8 1499954137.882579 1499954147.868834
8 1499954137.895909 1499954147.869818
8 1499954137.870709 1499954147.871260
8 1499953854.652403 1499953864.419479
8 1499953854.669218 1499953864.578387
8 1499953854.652736 1499953864.607591
8 1499953854.665887 1499953864.621231
8 1499953854.662635 1499953864.628112
8 1499953854.652459 1499953864.629716
8 1499953854.652669 1499953864.666874
8 1499953854.662614 1499953864.683717
8 1499954117.841350 1499954127.837496
8 1499954117.855866 1499954127.838190
8 1499954117.841028 1499954127.838275
8 1499954117.841084 1499954127.838814
8 1499954117.841141 1499954127.841055
8 1499954117.862525 1499954127.841137
8 1499954117.852684 1499954127.845383
8 1499954117.852580 1499954127.845859
8 1499954057.169796 1499954066.765484
8 1499954057.169847 1499954066.921810
8 1499954057.172644 1499954067.41451
8 1499954057.170111 1499954067.100019
8 1499954057.182537 1499954067.107650
8 1499954057.195863 1499954067.115760
8 1499954057.182547 1499954067.222828
8 1499954057.189200 1499954067.224040
8 1499953874.698115 1499953884.671797
8 1499953874.697859 1499953884.678482
8 1499953874.697805 1499953884.684877
8 1499953874.697914 1499953884.691670
8 1499953874.709277 1499953884.692713
8 1499953874.707430 1499953884.693268
8 1499953874.709224 1499953884.699489
8 1499953874.719224 1499953884.701242
8 1499954097.804284 1499954107.559146
8 1499954097.822529 1499954107.727616
8 1499954097.804227 1499954107.761217
8 1499954097.809205 1499954107.767146
8 1499954097.804536 1499954107.780684
8 1499954097.819195 1499954107.794644
8 1499954097.815919 1499954107.818822
8 1499954097.804336 1499954107.820078
8 1499953914.750658 1499953924.500686
8 1499953914.762604 1499953924.669604
8 1499953914.762554 1499953924.741700
8 1499953914.750725 1499953924.742522
8 1499953914.750605 1499953924.744201
8 1499953914.750912 1499953924.745521
8 1499953914.763472 1499953924.746680
8 1499953914.765881 1499953924.754062
